jeweler_name,product_class,product_class_more,carat,weight,material_composition,price,followers,likes,british_pounds
Electron Cloud,ring,flat stacking ring,carat_14k,3,"14k gold, 3 grams",,254,50,0
Electron Cloud,ring,halo ring,carat_14k,4,"14k gold, 3 grams",,254,50,0
Electron Cloud,ring,hammered band,carat_14k,6,"14k gold, 3 grams",,254,50,0
Electron Cloud,ring,facetted ring,carat_14k,3,"14k gold, 3 grams",,254,50,0
Electron Cloud,ring,simple ring,carat_14k,3,"14k gold, 3 grams",,254,50,0
